Date,Close,High,Low,Open,Volume,Date_num,H-L,O-C,SMA_7,SMA_17,SMA_30,SD_7,SD_30
2024-06-05,71082.8203125,71735.4140625,70390.7109375,70568.3515625,32810771409,739042,1344.703125,-514.46875,68824.33035714286,68940.3497242647,66593.93020833333,1444.973866310002,3285.6165016617265
2024-06-06,70757.1640625,71625.734375,70119.125,71082.84375,25223152007,739043,1506.609375,325.6796875,69166.06919642857,68899.70082720589,66874.67513020833,1593.4790755059896,3268.928604901677
2024-06-07,69342.5859375,71907.8515625,68507.2578125,70759.1875,36188381096,739044,3400.59375,1416.6015625,69430.52232142857,68852.9981617647,67146.49661458333,1412.5741006806106,3115.179566523582
2024-06-08,69305.7734375,69533.3203125,69210.7421875,69324.1796875,14262185861,739045,322.578125,18.40625,69658.92745535714,68863.78860294117,67355.02369791667,1200.8211669818386,3039.9769380293496
2024-06-09,69647.9921875,69817.5234375,69160.84375,69297.4921875,13534028500,739046,656.6796875,-350.5,69929.84040178571,68964.87270220589,67650.19752604167,866.054232053944,2801.3736368623113
2024-06-10,69512.28125,70146.0703125,69232.421875,69644.3125,20597699541,739047,913.6484375,132.03125,70030.91183035714,69022.88327205883,67940.81653645834,745.8093044539148,2501.7600599248462
2024-06-11,67332.03125,69549.4140625,66123.6015625,69508.078125,37116136345,739048,3425.8125,2176.046875,69568.6640625,68909.12362132352,68136.93776041667,1213.63246150035,2185.930469619423
2024-06-12,68241.1875,69977.890625,66902.453125,67321.375,34497940694,739049,3075.4375,-919.8125,69162.71651785714,68892.83501838235,68314.92903645833,1091.893883824971,1949.5407896978784
2024-06-13,66756.3984375,68365.78125,66304.5625,68243.1015625,28955204146,739050,2061.21875,1486.703125,68591.17857142857,68737.64935661765,68488.38268229166,1162.963734243101,1508.8299304665238
2024-06-14,66011.09375,67294.6484375,65056.89453125,66747.5703125,27403884779,739051,2237.75390625,736.4765625,68115.25111607143,68603.23023897059,68479.83606770834,1450.3783379764916,1522.5079076704283
2024-06-15,66191.0,66402.1875,65871.7734375,66006.7421875,14121265576,739052,530.4140625,-184.2578125,67670.28348214286,68521.63648897059,68511.81666666667,1501.1667425041614,1460.7486629952896
2024-06-16,66639.046875,66894.84375,66018.25,66189.359375,13281140541,739053,876.59375,-449.6875,67240.43415178571,68420.11029411765,68498.05572916666,1250.3155349624142,1476.8322244648564
2024-06-17,66490.296875,67188.3203125,65094.96484375,66636.515625,30006354476,739054,2093.35546875,146.21875,66808.72209821429,68361.22104779411,68483.03880208333,761.1967811476169,1495.3867995070548
2024-06-18,65140.74609375,66556.703125,64066.95703125,66490.9765625,39481285950,739055,2489.74609375,1350.23046875,66495.68136160714,68210.26861213235,68445.11809895834,939.7564579430702,1565.9796201642414
2024-06-19,64960.296875,65695.3515625,64693.30078125,65146.66015625,21103423504,739056,1002.05078125,186.36328125,66026.98270089286,68046.07421875,68228.85481770833,715.5089100462682,1584.8298609898661
2024-06-20,64828.65625,66438.9609375,64547.84765625,64960.296875,25641109124,739057,1891.11328125,131.640625,65751.59095982143,67812.18451286765,68051.92565104166,757.7128623782427,1659.05964214125
2024-06-21,64096.19921875,65007.546875,63378.89453125,64837.98828125,26188171739,739058,1628.65234375,741.7890625,65478.03459821428,67431.50413602941,67884.38776041666,965.5672968388066,1795.4138229273242
2024-06-22,64252.578125,64475.46875,63929.7578125,64113.86328125,9858198793,739059,545.7109375,-138.71484375,65201.1171875,67029.72518382352,67761.82161458333,1004.2046907420606,1913.8257382825764
2024-06-23,63180.796875,64491.703125,63180.796875,64248.96484375,11170471802,739060,1310.90625,1068.16796875,64707.08147321428,66584.0565257353,67583.64479166667,1029.2485718092319,2081.680307348049
2024-06-24,60277.4140625,63292.52734375,58601.69921875,63173.3515625,43152133651,739061,4690.828125,2895.9375,63819.52678571428,66050.81112132352,67284.02708333333,1697.249670922751,2446.1521046190564
2024-06-25,61804.640625,62258.26171875,60239.75,60266.28125,29201215431,739062,2018.51171875,-1538.359375,63342.94029017857,65609.56801470589,67060.2453125,1732.442478088235,2629.570244436209
2024-06-26,60811.27734375,62434.13671875,60695.1875,61789.67578125,22506003064,739063,1738.94921875,978.3984375,62750.22321428572,65089.761259191175,66774.13606770833,1795.4768107096506,2826.41112671845
2024-06-27,61604.80078125,62293.86328125,60585.33203125,60811.2265625,21231745045,739064,1708.53125,-793.57421875,62289.67243303572,64624.615349264706,66551.08880208334,1573.2016917822848,2962.8864362592685
2024-06-28,60320.13671875,62126.09765625,59985.40234375,61612.8046875,24952866877,739065,2140.6953125,1292.66796875,61750.23493303572,64212.15096507353,66309.15690104167,1496.0149044299933,3165.527021275893
2024-06-29,60887.37890625,61097.62109375,60300.96484375,60319.875,12652903396,739066,796.65625,-567.50390625,61269.4921875,63779.57398897059,66059.903125,1024.1555486150698,3290.0145314847096
2024-06-30,62678.29296875,62892.828125,60632.94921875,60888.4453125,17333226409,739067,2259.87890625,-1789.84765625,61197.70591517857,63539.685431985294,65899.46575520834,874.5407058459056,3334.8501082995335
2024-07-01,62851.98046875,63777.2265625,62495.51171875,62673.60546875,25468379421,739068,1281.71484375,-178.375,61565.50111607143,63353.85523897059,65737.63385416666,960.1825098192918,3361.803998661381
2024-07-02,62029.015625,63203.359375,61752.74609375,62844.41015625,20151616992,739069,1450.61328125,815.39453125,61597.5546875,63109.03262867647,65546.88098958334,973.1536953075679,3405.6557483719553
2024-07-03,60173.921875,62187.703125,59419.38671875,62034.33203125,29756701685,739070,2768.31640625,1860.41015625,61506.50390625,62728.73115808824,65259.18567708333,1082.6383897923574,3484.586548330036
2024-07-04,56977.703125,60399.67578125,56777.8046875,60147.13671875,41149609230,739071,3621.87109375,3169.43359375,60845.489955357145,62169.166819852944,64806.18359375,2019.6713196295213,3650.0995005010577
2024-07-05,56662.375,57497.15234375,53717.375,57022.80859375,55417544033,739072,3779.77734375,360.43359375,60322.95256696428,61670.43910845588,64325.50208333333,2575.0589276961055,3743.3498414174733
